# Requests out, and jobs that need a person rather than a machine.
# status: sent | replied | ready | waiting-on-david | done | blocked
what	who	status	detail	sent_on
Search the Montevideo parish registers for Juan Carlos Lerena	me	done	DONE 13 Sep 2026. The indexed Uruguayan record holds no Juan Carlos Lerena born 1830-1870; full text returns two hits for the phrase in the whole corpus, neither ours; and the one documented Lerena household of that generation - Luis Lerena Lenguas and Julia Juanico - has now been opened from the marriage act to the last burial. All four of their children are named, and he is not among them. ORIGINAL NOTE: "Uruguay, Registros Parroquiales, 1750-1930" on FamilySearch. A baptism in the 1840s-1850s and a marriage to a Maria before 1882. Opened by the 1866 Rosario act, which says the only Lerena in that parish was a native of the Estado Oriental.	2026-09-13
Find Luis Lerena Lenguas and Julia Juanico in Montevideo	me	done	DONE 13 Sep 2026. Married 19 December 1864, San Francisco de Asis, Ciudad Vieja, Montevideo, act 258 - image read at full resolution. He is named as the legitimate son of Don Luis and Dona Justiniana Lenguas, which makes the Montevideo trunk PRIMARY where it had been a tree assertion. She is named as the daughter of Dr Don Candido Juanico and Dona Juliana Gonzalez. ORIGINAL NOTE: Their marriage, and his own baptism. If his father is the Don Luis Lerena who stood godfather by proxy in 1866, that is two generations from one act.	2026-09-13
Turn the Montevideo marriage-dispensation register, 1856-1932	me	ready	*** MARKED "done" IN ERROR, and corrected 13 September 2026. The task is to TURN the register, and turning is not searching. *** What was actually done was a FULL-TEXT search on the register's own formulae, and it answered well: eight Lerena dispensations in seventy-six years, two families - the Montevideo patricians of the Catedral and the rural Lerenas of Trinidad in Flores - NO Juan Carlos Lerena, and no Lerena-Lerena dispensation at all. But full text is machine handwriting recognition, and the whole reason to turn a register by hand is to catch what it misses. Still to do. *** The method is now proved - /search/film/<DGS>?i=<N>, ark from the page title, assemble the tiles - and only the DGS is missing; *** three routes to it failed on 13 Sep because FamilySearch's catalogue, records and full-text search were all erroring that day.	2026-09-13
Open the CEMLA manifest for the four LERINA arrivals of 15 March 1889	waiting-on-david	waiting-on-david	The exclusion of Laurensa, Savina, Anna and Annunziata LERINA was narrowed on 13 Sep 2026 - they are excluded on their dates, not on a judgement about the surname - but the manifest page itself has never been seen. CEMLA's search lives at search.cemla.com and is gated by a CAPTCHA (field "CaptchaCode"), which this archive does not solve. Ship ADELAIDE LAVARELLO from Genova, arriving Buenos Aires 15 March 1889. NOTE BEFORE SPENDING TIME ON IT: CEMLA's public search returns INDEX ROWS, not images. If it offers no page image, the manifest itself is at the Archivo General de la Nacion and this cannot be closed online at all.	2026-09-13
Find the death of Luis Eugenio Lerena Lenguas	me	done	*** DONE 13 September 2026: HE DIED 24 DECEMBER 1901, *** at seven in the morning at calle Suarez No. 25, el Paso del Molino, Montevideo - certificate 216, image read. "De nacionalidad oriental, nacido en Montevideo, de cincuenta y seis de edad, de estado casado, y de profesion HACENDADO", of pulmonary tuberculosis. His mother Justiniana Lenguas was alive at 79 and in the house. *** IT WAS HIDING UNDER A MISSPELLING: *** FamilySearch indexes him as Luis SERENA Lenguas, so every search on the surname missed him, including a 1,502-row sweep of Montevideo Lerena deaths run the same morning. Found by searching his MOTHER instead. Two things this row used to say were wrong: the window did NOT start in 1880 - his last child Candido Jaime was born 13 September 1884 - and the search was not blocked, it was looking under the wrong letter.	2026-09-13
Three FamilySearch searches this session cannot run - two minutes in your own browser	waiting-on-david	done	*** THE BLOCK IS OVER, and all three searches were run here on 13 September 2026. *** This row used to say FamilySearch had firewalled this automated session and that every request was refused on contact - true when it was written, false since, and left standing it would stop the next person from trying. (1) LUIS EUGENIO'S DEATH: found, 24 December 1901, act 216, image read. (2) JULIA JUANICO'S BAPTISM: found, born 23 November 1842, christened 4 October 1843 at San Francisco de Asis, mother given in full as Juliana Joaquina Gonzalez. (3) CANDIDO JUANICO'S FIRST MARRIAGE: the two-wives inference is confirmed from the children themselves - Julia born 1842 to Juliana Joaquina Gonzalez, against Sara, Zara and Celia born 1866-69 to SIXTA LENGUAS - though the marriage act itself is still not opened.	2026-09-13
Put the ark on the last row that says IMAGE READ	me	done	*** DONE, 14 September 2026 - the fifth ark is found, and the act came with three other things. *** *** EMA SIXTA LERENA JUANICO's marriage act: ark 3:1:3Q9M-C9B7-T7P2-W *** - "La Union, Montevideo, Montevideo. Religious Marriage Records 1902-1934", act 90 of 30 June 1913, FULL-TEXT TRANSCRIPT READ. *** THE ROUTE THIS ERRAND PRESCRIBED WAS WRONG AND A SIMPLER ONE WORKED. *** It said to browse the La Union register by DGS through the catalogue. In fact the register is IN FULL TEXT, and a phrase search for *** "Sixta Lerena" *** returns exactly two documents, the first of which is it. Two earlier rounds failed because they searched her with MASSERA as spouse and searched Jose Pedro Massera by name; the compound SIXTA LERENA had not been tried. *** WHAT THE ACT SAYS: *** "Don Jose Pedro Mar[s]era, natural de esta Republica, soltero, de cuarenta y seis anos de edad, hijo legitimo de Don Jose Joaquin Mar[s]era y Dona Mercedes Martinez, finados = con = Dona Ema Sixta Lerena Joanico, de la misma nacionalidad y estado, de treinta y tres anos de edad, *** hija legitima de Don LUIS LERENA LENGUAS y Dona JULIA JOANICO, FINADOS *** . Fueron testigos, Don Jaime Herrera y Dona Maria Perena Juanico de Herrera." *** THREE THINGS BEYOND THE ARK. *** *** (1) Her parentage is now on an ACT, not an index *** - Luis Lerena Lenguas and Julia Juanico named as her parents in her own marriage. *** (2) BOTH PARENTS WERE DEAD BY JUNE 1913 *** - "finados" - which this archive did not have. *** (3) It corrected her sister's surname in this register: *** the witness "Maria PERENA JUANICO de Herrera" is Maria Lerena JUANICO, and the register had her as LERENA LENGUAS, her father's compound rather than her own. *** The age of 33 on the act is NOT adopted: *** this archive already settled her birth at 21 November 1876 on three independent records, and ages at marriage are the weakest date in genealogy.	-
Open the images behind Gilberto Lerena Lenguas's parentage	me	done	*** DONE 13 September 2026, and it came out primary. *** Act No. 1447, San Francisco de Asis, folio 504, 31 October 1886 - image ark 3:1:3Q9M-C9BW-Z9RM-W, read at DeepZoom level 12. It baptises Gilberto's daughter Maria Angelica Julia, "hija legitima de Don Gilberto Lerena y de Dona Julia Salvanach, orientales", and names the paternal grandparents "Don LUIS y Dona JUSTINIANA LENGUAS" - the couple named as Luis Eugenio's parents in his marriage act of 1864 and his death act of 1901. *** THE GODMOTHER IS DONA JULIA JUANICO DE LERENA, Luis Eugenio's own wife. *** It also produced two new people: Don Cristobal and Dona Angela Alvarez, Julia Salvanach's parents. THE SECOND IMAGE (ark 3:1:3Q9M-C9B7-BQZD-W, the baptism of Raul Alfredo Luis) is still unopened, and is worth opening as a second witness.	-
Read the six LORENAS of the 1869 Rosario census at their own pages	me	done	Agustin (b.1829), Guillermo (1853), Geronima (1854), Mercedes (1860), Feliz (1866) and Maria (1868) LORENA are in the 1869 national census at Rosario, elsewhere in the film from Bartolome Llerena. *** Guillermo and Geronima are the right age to be a parent of a child born in 1882. *** The schedule will show household structure - who is head, who is spouse, who is child - and whether the clerk wrote Lorena, Lerena or Llerena.	-
Find the DGS for the Montevideo marriage-dispensation register	me	ready	*** TRIED AGAIN 13 September 2026 AND STILL BLOCKED - by their outage, not by the work. *** FamilySearch's CATALOGUE SEARCH and FULL-TEXT SEARCH were both returning "Something Went Wrong" for hours, while name-indexed records search and DIRECT CATALOGUE IDs worked normally. The dispensations are in the FULL-TEXT corpus, not a name-indexed collection, so full text is the only route to them - and it is the half that is down. *** WHAT WOULD UNBLOCK IT: *** the catalogue entry for the Arquidiocesis de Montevideo, opened BY ID rather than by search, which is how five other film DGS numbers were recovered today while search was dead.	-
Open the Confirmaciones film that covers Pablo Armando	me	done	*** DONE, 14 September 2026 - and not one film but BOTH of them, read end to end. *** *** ROSARIO CATEDRAL, DGS 004531018, 'Confirmation Records 1883-1904': images 5-80 read earlier in the month, images 81-145 read on 14 September. *** The volume ENDS at image 145, not at 148 as this errand assumed; the film holds 421 images across several volumes, and image 200 opens 'Confirmation Records 1904-1918' - when Pablo Armando was 22-36 and already in South Africa, so out of scope rather than unread. *** SANTA ROSA DE LIMA, DGS 004581639, 'Confirmaciones 1890-1897': all 141 images read, every transcript non-empty. *** *** PABLO ARMANDO IS IN NEITHER. *** He was 8 to 22 across their combined span, which is the age for confirmation, and the hope was that a confirmation act names the parents. *** Both of Rosario's confirmation registers early enough to hold him are now exhausted. *** One candidate survives: Santa Rosa image 131, a mother written 'Dona ANDUGARA GERENA', left as a candidate needing the image. See data/santa-rosa-confirmations-complete.tsv and data/rosario-catedral-confirmations-complete.tsv.	-
Trace Gilberto Lerena's Buenos Aires household forward	me	ready	*** THE SHARPEST LEAD IN THE ARCHIVE NOW THAT HE IS ATTACHED. *** Gilberto is documented as Luis Eugenio's brother on TWO acts from two parishes; he moved to Buenos Aires between 1887 and 1889; his son Carlos married there in 1914 from Pueyrredon 1750; and his MOTHER Justiniana Lenguas was living in Argentina at 87 in 1908. *** So there is a documented Lerena family in Argentina descending from the Montevideo house - and Juan Carlos Lerena has to have come from somewhere. *** Attempted 14 September and blocked: FamilySearch's records search began returning an EMPTY BODY mid-session. Search on Gilberto AS FATHER across Argentine collections, and on Julia Salvanach as mother.	-
Test whether Alejandro Lerena Lenguas is the Alejandro M. Lerena of the enrolment cards	me	ready	Two Alejandros, and they may be one man. *** ALEJANDRO LERENA LENGUAS, born 29 May 1845, was found on the 1846 baptism image *** - a sixth child of Luis Lerena and Justiniana Lenguas, and so a brother of Luis Eugenio and Gilberto. Separately, the army enrolment cards of Cajon 985 name a father *** ALEJANDRO M. LERENA, born Uruguay 1839, wife Julia Bassani, with a son born at Montevideo in 1886. *** The years differ by six, which is within the range this archive has repeatedly seen between a baptism act and a stated age. If they are one man, another brother is placed in Argentina. The cards name parents, so the test is direct. Attempted 14 September and blocked by the same search outage.	-
Find General Don Pedro Lenguas in the published record	me	ready	*** He is the only titled person in this tree, and a general leaves a trace a farmer does not. *** Father of JUSTINIANA Lenguas and of SIXTA Lenguas - so grandfather of Luis Eugenio and Gilberto, and father-in-law of Dr Candido Juanico. Called "el General D. Pedro Lenguas" in his granddaughter's 1846 baptism act. *** HIS OWN PARENTS ARE NOW KNOWN from Sixta's death act: D. ANTONIO LENGUAS and Dona JUANA GRANDAL *** - and an Antonio Lenguas born 1807 AT BUENOS AIRES, buried 1841 at Las Piedras, with a wife Juana Grandal, is in the indexed records. Uruguayan military and national histories, not FamilySearch, are the place for the general himself.	-
Find the CHILDREN of Don Luis Lerena and Dona Carolina Oliva, 1836-1841	me	ready	*** THE MARRIAGE IS FOUND AND SHE IS NAMED: CAROLINA OLIVA, married by petition at Montevideo on 3 SEPTEMBER 1836 *** - image read, ark 3:1:3Q9M-C9B7-J331-G, signed by Luis Lerena himself. She was dead by March 1842, when he remarried "en segundas nupcias" as "viudo de Dona Carolina". *** IF THERE WERE CHILDREN, THEY ARE HALF-SIBLINGS OF LUIS EUGENIO AND GILBERTO - Lerenas of the right surname, the right country and the right generation, and nobody has ever looked for them. *** *** THE INDEXED SEARCH IS DONE AND CAME BACK EMPTY, 14 Sep 2026: *** no child of a Lerena father and a Carolina Oliva mother anywhere, and no death for her - every Carolina Oliva in the Uruguayan records is a later woman who married Antonio Reverditto. So this needs the REGISTERS TURNED BY HAND: Montevideo baptisms 1837-1841, and burials 1841-42. Any child would be a HALF-SIBLING of Luis Eugenio and Gilberto - a Lerena of the right surname and the right generation, and a place Juan Carlos has never been looked for.	-
Search the Iglesia del Cordon, Montevideo	me	ready	Named for the first time on 14 September 2026: the 1914 informacion matrimonial says Carlos Lerena was "bautizado en la Iglesia de el CORDON, Dep. de Montevideo". *** That is a THIRD Montevideo parish for this family *** - after San Francisco de Asis and the Catedral Basilica - and this archive has never searched it. Carlos's own baptism of about 1884 is there, and possibly others of Gilberto's Montevideo children.	-
Re-run the Montevideo dispensation sweep on COMPOUND surnames	me	ready	*** THE EXISTING SWEEP IS KNOWN TO BE BLIND, and a ninth dispensation was found on 14 September 2026 that it missed. *** Its formulae were "Lerena el impedimento" and "LERENA FELIGRESA" - both assuming the next word follows the bare surname. Ema Sixta is written "Dona Ema Sixta LERENA JUANICO, feligresa de la metropolitana", and the compound surname sits in between. *** EVERY CHILD OF BOTH MONTEVIDEO COUPLES CARRIES A COMPOUND SURNAME, so the sweep was blind to exactly the people this archive cares most about. *** Re-run on "Lerena Juanico", "Lerena Lenguas", "Lerena Salvanach", and on the bare surname with the PLACE FACET instead of a following word. The headline conclusion - no Lerena-Lerena dispensation, everyone marries out - is not withdrawn but is not safe until this is done.	-
Find the marriage act of Josefa Lerena - Moratorio, or Lerena?	me	ready	*** RAISED AND THEN LARGELY DEFLATED ON THE SAME DAY - and it still needs one act to close. *** Pablo Armando's enrolment card names his parents JUAN CARLOS LERENA and MARIA LERENA, and the standing question is whether Maria was a Lerena BY BIRTH - which would make theirs a marriage between kin, and would need a dispensation. The 1895 Buenos Aires census enters a JOSEFA in Gilberto Lerena's household as *** "LERENA de L[erena], m, 43, VIUDA, R. Oriental" *** - and on the two lines above her the same enumerator writes married women as [maiden surname] de L. If he is consistent, Josefa was born a Lerena and married a Lerena, one generation before Juan Carlos. *** BUT WITHIN THE HOUR, Uruguayan civil registration produced a JOSEFA LERENA married to FERNANDO MORATORIO, whom the FamilySearch tree attaches to Josefa Lerena Traibel 1851-1947 - the same candidate. If that is her, "de L." is the enumerator's shorthand for the Lerena HOUSEHOLD and proves nothing. The Lerena-Lerena reading is withdrawn as evidence. *** She is almost certainly the Josefa Lerena who stood godmother at the Catedral de Montevideo in 1885. Born about 1852, widowed by 1895. Look for her marriage in Montevideo 1870-1890, and for her husband's death before 1895. And note the dispensation sweep that concluded no Lerena-Lerena marriage exists is itself known to be blind to compound surnames.	-
Retry ALEX when its full-text search is working	me	ready	*** alex.onb.ac.at - about 5 million pages of Austrian and Habsburg official texts. Its CONTENT search is broken: every query returns TOTAL (0) with a "not yet available" notice, proved by controls on 14 Sep 2026. *** The digitised volumes and the TITLE search do work. When full text returns, search LERENA and LLERENA, and specifically the Hof- und Staatshandbuch and Reichsgesetzblatt for an AUSTRO-HUNGARIAN honorary consul of that name at MONTEVIDEO or BUENOS AIRES - the only plausible link, and one that fits a family holding a general, a judge and an abogado. It would NOT reach Pablo Armando's own claimed ARGENTINE consulship at the Cape; that needs the South African gazette.	-
Read the Rosario CONFIRMATIONS by full text, not by tiles	me	done	*** READ END TO END: images 5 to 80 of item 1, every page from the first register leaf (15 MAY 1885) to the start of the 1897 section. NO LERENA, under any of seven spellings, among roughly 2,500 children - each entry naming both parents. *** Pablo Armando was three when the register opens and fifteen when the section closes, and children appear at every age from two to fifteen, so his whole plausible window is inside the pages read. *** STILL OPEN: images 81-148 (1897-1904, when he was 15-22), and any confirmations of 1883-84, which are not on these pages. *** See data/rosario-confirmations-read.tsv.	
Read SANTA ROSA DE LIMA, Confirmaciones 1890-1897 - the second Rosario parish	me	done	*** DONE - THE WHOLE FILM, 14 September 2026. *** DGS 004581639, 141 images. *** Every image from 6 to 141 read with a non-empty transcript (2,111-3,629 characters each), searched for seven spellings. *** *** PABLO ARMANDO IS NOT IN IT. *** Both of Rosario's confirmation registers covering his childhood are now read to the end - the Catedral and this one - and he is in neither. *** ONE hit in the whole register: *** image 131, "Dona ANDUGARA GERENA" as a mother. Not him, and on a page whose transcription also produced "Jose Mala", "Hurbacero" and "Perero" as a child's name. *** Left as a candidate needing the image at magnification, not as a find. *** *** METHOD NOTE THAT MATTERED: *** images 86-89 returned len=0 in one batch and were logged NOT READ; image 86 re-read after a pause gave 2,970 characters, proving the zeros were the throttle. Image 22, failed three times across two days, read clean at 3,451. *** Eleven pages would have been silently certified as empty if a zero had ever been allowed to count as a read. *** See data/santa-rosa-confirmations-complete.tsv.	
Read SPORTING LIFE's Argentine racing columns, 1905-1920	me	ready	*** THE ONE LIVE SEAM IN THE BRITISH PRESS, found 14 September 2026 after the surname search failed. *** Searching "Lerena" in the British Newspaper Archive is useless - the Nissan Serena, "gutta serena" and a Spanish finance minister swamp it. But *** "ARGENTINE STUD BOOK" returns 13 genuine articles, *** and SPORTING LIFE covered Argentine racing in the very years GILBERTO LERENA was co-founding that book and having a Palermo Group 1 named for him in 1914. Read the columns by SUBJECT rather than searching by NAME. Note this needs a findmypast or BNA subscription - the newspapers ARE covered by the plan tested on 14 Sep, unlike the Devon parish registers.	
Write to "Welsh Jen" on RootsChat - TAYLOR of Bideford	David	waiting-on-david	The RootsChat Surname Interests Table lists a member "Welsh Jen" researching *** TAYLOR of BIDEFORD, DEVON *** - the exact registration district of William Taylor and Mary Ann Helena Brayley and seven of their ten children. *** Messaging requires an account and TWO forum posts before the PM system unlocks. *** This archive now holds for that family: ten children with dates, six marriages with GRO volume and page references, the 1891, 1901, 1911 and 1921 censuses, the 1939 Register, and a daughter who married an Argentine and died at Cape Town. *** Offer first and ask second - that is a great deal to give a fellow researcher, and it is the right way round for a first message. *** Other leads on the same table: "Muddy Waters" (DALLING, Swimbridge/Landkey/Barnstaple), "Burnell" (BRAYLEY, Somerset & Devon), "kingsgate" (NORRISH, Devon).	
Find the GRANADA marriage act of Sancho Lerena y Armenta and Ana Maria de Aguilar	me	done	*** DONE, 14 September 2026 - the act was found, and then the reason for wanting it was withdrawn. *** *** FamilySearch ark 1:1:C9WG-BGW2 indexes it: SANCHO DE LERENA Y ARMENTA, born CORDOBA, son of SANCHO DE LERENA Y VELASCO and MARIA ANTONIA DE ARMENTA Y GUEBARA, married ANA MARIA DE AGUILAR of La Malaha, daughter of FRANCISCO DE AGUILAR and BEATRIS FRANCO, at SANTA ANA, GRANADA on 17 NOVEMBER 1754. *** A second index entry sits in the Granada Pre-Marriage Investigation Files (ark 1:1:XPG2-RYP). *** BOTH ARE MARKED IMAGE UNAVAILABLE - the act itself is still unread, and Geneanet's fifty-year span is now a single day. *** *** BUT IT DOES NOT TOUCH THIS FAMILY. *** The errand existed because a son of that couple would be styled Lerena y Aguilar, which is the name the trees give the Uruguayan Sancho. *** The jfina tree gives his parents as FELIX LERENA and ROSALIA AGUILAR, citing Revista 15 IEGU - so Aguilar is his MOTHER'S surname, not a Granada grandmother's. *** *** And full text agrees from the other side: "Juan de Lerena y Aguilar" returns FIVE Madrid notarial hits, "Sancho de Lerena y Aguilar" returns No Results Found against that control. *** The Spanish findings are kept as Spanish findings in data/1754-granada-act.tsv, under a banner withdrawing the connection.	
*** Revista 15 IEGU, pages 53-54 - no longer the only authority, but still worth having ***	David	waiting-on-david	*** DOWNGRADED 15 September 2026, and the reason is good news. *** This errand was headed "the ONLY authority for Sancho's parents", because the Geneanet pages of FELIX LERENA and ROSALIA AGUILAR carry nothing but the line "Family: Revista 15 IEGU" and this archive had used that parentage to withdraw the Granada hypothesis. *** THE PARENTAGE IS NOW ON A PARISH ACT. *** The baptism of their grandson Luis Escolastico at the Iglesia Matriz of Montevideo, 10 February 1811, reads "Abuelos paternos FELIZ GERENA y ROSALIA AGUILAR" - ark 3:1:3Q9M-C9BW-X7F6-M. *** So the article is no longer load-bearing and nothing in this archive now depends on it. *** *** IT IS STILL WORTH GETTING, for a different reason: *** the act gives the parents' NAMES and nothing else. Felix and Rosalia have no dates, no places, no marriage and no other children anywhere here. *** If Revista 15 cites a Spanish act for them - a parish, a book, a folio - that is the first thread into CORDOBA, which is still on no act at all. *** *** If it cites nothing, the article can be set aside for good. *** Same place as before: the IEGU sells back issues (www.iegu.org.uy, plain http - its certificate has expired); also at Stanford (SearchWorks 458344) and HathiTrust (record 101485627).	-
*** Apolant, "Operativo Patagonia", ficha 355 - the source of the 1791 date ***	David	waiting-on-david	*** The 8 January 1791 date, carried here for days as "what the trees say", descends from a named published work with a numbered entry. *** JUAN ALEJANDRO APOLANT, "Operativo Patagonia: historia de la mayor aportacion demografica masiva a la Banda Oriental, con la nomina completa, filiaciones y destino de las familias pobladoras" (Montevideo, Imprenta Letras, 1970), *** FICHA 355 *** - the FERNANDEZ TRESGUERRAS family, Asturian colonists of the 1778-1781 convoy. *** NOT AVAILABLE ONLINE: *** archive.org does not hold it; HathiTrust holds it (catalog record 008709228) but serves a bot check and, as a 1970 imprint, would be search-only. Second-hand copies appear on MercadoLibre Argentina. *** WHAT TO LOOK FOR: what APOLANT himself cites for the marriage *** - he worked from the parish books and the AGN, so his footnote may name the very book and folio this archive has been hunting. *** And whether he gives the PLACE, which the tree does not. ***	-
*** Sancho's 1791 marriage - FIVE FILMED BOOKS, and two of them are INDEXES ***	David	ready	*** REWRITTEN AGAIN, 14 September 2026, and this time it is not a letter-writing errand at all. *** *** The archive's standing verdict - that the 1791 act is 'probably not digitised' - is WRONG. *** It came from a full-text search, and full text covers a fraction of what is filmed. The catalogues say: *** CANELONES (catalogue koha:1294117): *** "Matrimonios, Libros 1-3, (sep.) 1776-1854 (dic.)" on DGS 8166578 items 11-13; "Indice de matrimonios, 1776-1947" on the SAME reel, item 10; and "Informaciones matrimoniales, Carpetas 1-6, 1776-1806" on DGS 8166573 items 6-11. *** MONTEVIDEO (catalogue koha:961086): *** "Matrimonios, 1726-1826" on DGS 7713382; "Indices de bautismos, matrimonios y defunciones (2 libros), 1726-1800" on DGS 7713386; and *** "Bautismos, matrimonios y defunciones, 1781-1814 (del Regimiento de Infanteria de Buenos Aires)" on DGS 7713373 *** - the Libros Castrenses, and Sancho was a soldado. *** THE CHEAPEST TEST IN THE ARCHIVE: both candidate parishes have an INDEX covering 1791, and neither has ever been opened. *** Canelones DGS 8166578 item 10; Montevideo DGS 7713386. One alphabetical opening under L in each. *** The images are NOT restricted *** - checked on the Canelones reel by the thumbnail grid, which shows padlocks where access is blocked and showed none. *** WHAT MAKES THIS HARD IS THE VIEWER, NOT THE ACCESS: *** it renders an image in 30-60 seconds in this session's browser and often not at all. *** The DeepZoom tiles are fast and level 12 is readable *** - see the technique written up in data/canelones-films.tsv. *** This is now a job for a session with a working viewer, or for David in his own browser, and it is hours rather than weeks. *** See data/canelones-films.tsv and data/montevideo-films-1791.tsv. *** 15 SEPTEMBER 2026 - THE ORDER OF PRIORITY HAS CHANGED, AND THE CASTRENSE BOOKS GO FIRST. *** The Canelones baptism of his son Pedro Antonio, 1 August 1793, was performed by "el Capellan del REGIMIENTO DE INFANTERIA DE BUENOS AYRES Don Bartolome Munoz", and calls Sancho "el SOLDADO DRAGON". *** That is the same regiment named in the catalogue entry for DGS 7713373, "Bautismos, matrimonios y defunciones, 1781-1814 (del Regimiento de Infanteria de Buenos Ayres)". *** *** So the unit whose chaplain was serving this family at Canelones in 1793 kept its own marriage register across 1791, and it is filmed. *** *** ALSO: the Canelones marriage INDEX has now been opened and it carries the entry *** - "Llerena Sancho con Maria Fernandez, 1791", Letra L, Libro I, DGS 8166578 image 2531 - so the parish act exists too, in Matrimonios Libro I on the same reel, which opens at image 2590 with the year 1776. *** Two independent books, both filmed, both unread. ***	-
*** Read ROSARIO CATEDRAL Confirmaciones - the 1897-1904 tail, images 81-148 ***	me	done	*** DONE, 14 September 2026 - and the volume ends at 145, not 148. *** *** Images 81-145 read, every transcript non-empty; images 5-80 were read earlier in the month, so the whole of Confirmation Records 1883-1904 is now read end to end and holds NO LERENA. *** *** Images 146-148 are NOT part of the volume: *** they carry no ark and their title is the bare 'Registros parroquiales, - Film # 004531018'. *** The film holds 421 images across several volumes; image 200 is Confirmation Records 1904-1918, when Pablo Armando was 22-36 and already in South Africa - identified and ruled out of scope, not left unread. *** *** One hit, image 143: SERENA - read in context it is a girl's forename in a column of forenames, not the surname. *** See data/rosario-catedral-confirmations-complete.tsv.	-
